tanggal,kategori,komoditas,satuan,pasar,harga,rata_harian,rata_hitung,selisih_rata
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Pabean,68000,61857.14286,61857.142857,0.000003
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Kembang,60000,61857.14286,61857.142857,0.000003
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Balongsari,55000,61857.14286,61857.142857,0.000003
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Tambahrejo,25000,24750,24750,0
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Pucang Anom,,24750,24750,0
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Wonokromo,,24750,24750,0
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Genteng Baru,25000,24750,24750,0
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Pabean,23000,24750,24750,0
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Kembang,,24750,24750,0
2024-01-01,I K A N,Ikan Lele Segar (Ukuran Sedang),Kg,Pasar Balongsari,26000,24750,24750,0
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Tambahrejo,35000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Pucang Anom,36000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Wonokromo,40000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Genteng Baru,40000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Pabean,32000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Kembang,42000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Bandeng Segar (Uk. Sedang),Kg,Pasar Balongsari,40000,37857.14286,37857.142857,0.000003
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Tambahrejo,,87500,87500,0
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Pucang Anom,100000,87500,87500,0
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Wonokromo,100000,87500,87500,0
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Genteng Baru,,87500,87500,0
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Pabean,80000,87500,87500,0
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Kembang,,87500,87500,0
2024-01-01,I K A N,Ikan Teri Asin (Bukan Teri Medan),Kg,Pasar Balongsari,70000,87500,87500,0
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Tambahrejo,25000,25642.85714,25642.857143,0.000003
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Pucang Anom,26000,25642.85714,25642.857143,0.000003
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Wonokromo,26000,25642.85714,25642.857143,0.000003
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Genteng Baru,26000,25642.85714,25642.857143,0.000003
